target_library,package_name,candidate_name,primary_category,component_kind,repo_count,file_count,priority,rationale,evidence_repos
shared-automation,@platphorm/automation,apply-sensitivity-labels,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-service-principal-assignments,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,send-welcome-email-mg,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-updated-office365-notifications,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,provision-one-drive-accounts,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,enable-all-exchange-audit-events,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-teams-apps,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-primary-archive-folder-sizes,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,azure-automation-groups-expiration-report,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,auto-apply-retention-labels,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,remove-service-plan2,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-dlmemberships-counts-graph,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,remove-service-plan3,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-sensitivity-labels-audit-records,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,create-new-conditional-access-policy,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,sposites-retention,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-candidate-copilot-users,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-app-consent-grants,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,populate-teams-directory-spolist-pnp,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-who-added-guests-to-groups,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,disable-junk-email-options,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-recoverable-items-ps,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-user-sign-ins,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-audit-eventsvia-email-runbook,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,send-azure-communications-email,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,post-items-to-httpwork-flow,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-all-email-proxy-addresses,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,sketch-pad,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,create-new-azure-adaccount,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,audit-record-audit-label,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,test-batch-processing,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-document-sensitivity-label-mismatches,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-user-update-audit-records,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-loop-app-users,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-one-drive-storage-usage,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-expiring-link-extended,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,create-ddlbased-on-smtpaddresses,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-managers-and-direct-reports,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-copilot-interactions-graph,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,generate-teams-directory,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,send-message-about-deleted-stream-videos,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-old-guest-accounts,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,remove-utility-messages-from-mailboxes,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-audit-events-for-user,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-permissions-apps,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,clean-up-mailbox-graph,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-m365-group-owners,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-unused-exo-mailboxes,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-mail-usage-domains,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-plan-with-tasks,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-send-as-audit-events,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,new-account-tracking-azure-automation,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-mailbox-auditing-configuration,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-one-drive-usage,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,remove-licenses-disabled-accounts,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,assign-licenses-via-csv,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,check-sensitivity-labels-groups,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-permissions-on-mailboxes,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-one-drive-group-members,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-break-glass-users-capolicies,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,analyze-mail-traffic,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,analyze-send-as-audit-data,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-delve-insights-disabled,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-dls-and-managers,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-permission-consent-requests,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,get-power-automate-flows,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,analyze-teams-external-chats,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,populate-org-contacts,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-recoverable-items,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-tenant-custom-branding,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-mrmtags-on-folders,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-mailbox-auditing,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-audit-recs-file-updates,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-potential-directory-problems,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,get-ipgeolocation,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-send-as-audit-records,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-auroles-and-members,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,get-holds-on-mailbox,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,azure-automation-find-remove-teams-chats,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-obsolete-guests-by-activity,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-non-ssprenabled-users,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-teams-policy-assignments,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,purge-messages-with-search-mailbox,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,get-user-sign-in-data-graph,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,remove-kaizala-service-plans,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-quarantined-messages,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-under-used-copilot-licenseswith-audit,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,remove-permissions-shared-mailbox,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,convert-ddlm365-group,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,populate-teams-holidays,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-files-with-down-graded-labels,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-office365-groups-with-bad-guests,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,azure-automation-add-members-team-channels,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-group-photos-sdk,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-sposite-storage-usage,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-mailbox-items-graph,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-deleted-email-audit-records,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-audit-rec-failed-sign-in,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-report-guests-added-teams,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-yammer-community-activity,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,populate-team-shared-channel,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-teams-chat-info,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-files-sposite,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-deleted-odspdocuments,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,remove-service-plan-mg-graph,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,archive-microsoft365-groups,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-exo-mailbox-folder-stats,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,assign-multiple-licenses,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,convert-account-to-internal,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,create-entra-iddynamic-aus,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-deleted-entra-idobjects,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-one-drive-files,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-app-lock-instance,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-office365-power-shell-modules,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-team-channels-with-wiki,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-managers,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,convert-dlto-o365-group,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-user-membership-of-teams,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-domain-blocks,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-auto-expanding-archives,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,send-msg-to-group-owners,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-copilot-audit-records,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,check-shared-mailboxes,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,reporte-discovery-cases,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,search-and-remove-items-mailboxes,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-weekly-calendar-for-room-mailboxes,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-unused-service-principals,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,teams-groups-activity-report-v5,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-spofiles-document-library,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-expiring-app-secrets,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-obsolete-guests-by-activity-v3,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,send-teams-chat-with-lotsof-mentions,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,hide-groups-used-by-teams,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-tabs-and-apps-in-teams,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-delegated-permssions,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-last-successful-sign-in,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-users-and-managers,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-activity-alert-audit-events,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-obsolete-guests-by-activity-v2,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,check-retention-policy-updates,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,assign-colors-sensitivity-labels,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-restore-recoverable-items-audit,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-who-created-guests-through-sposharing,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,populate-teams-directory-spolist-graph,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-devices-from-sign-in-log,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,remove-service-plan,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-sensitivity-label-settings,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-crucial-send-and-search-records,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-mailbox-sizes,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,get-plans-for-user,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-white-board-info,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,remove-viva-engage-core-service-plan,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-user-password-changes,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-inactive-dls,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,assign-local-language-strings-sensitivity-labels,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,restore-entra-iduser-new-upn,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-add-member-events,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-audit-recs-group-creation,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-connections-m365-admin-center,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,add-contacts-to-mailboxes,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-when-anonymous-link-used,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,fetch-service-messages-graph,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,find-underused-copilot-licenses,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,process-expiry-guest-accounts,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,get-user-sign-in-data-graph-sdk,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,teams-groups-activity-report,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,check-audit-events-runbook,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-outlook-signature,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,post-new-microsoft365-roadmap-items,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-sharing-one-drive-files,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-microsoft-irmcapolicies,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,get-service-principal-sign-ins-graph,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,convert-mail-contacts-guests,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-teams-tags,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-external-email-sent,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,get-graph-user-statistics-report,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-archived-teams,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-service-principals-with-high-permissions,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,set-intelligent-versioning-one-drive-sites,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,report-shared-mailbox-licenses,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,update-static-retention-policy-azure-automation,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
shared-automation,@platphorm/automation,send-welcome-new-user-messages-hve,automation,script,1,1,medium,script classified as automation with reuse potential across 1 repositories and 1 files.,mbarbine__Scripts
